date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:46:05	40/40	---M--	200	added ('OK')	text/plain	etag:%2228-51affbcb1e51a%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.core-1.4.4.pom.asc.sha1	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.core-1.4.4.pom.asc.sha1	(from http://www.apache.org/dist/aries/)
13:46:07	40/40	---M--	200	added ('OK')	text/plain	etag:%2228-51affbcb1e51a%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.core-1.4.4.pom.sha1	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.core-1.4.4.pom.sha1	(from http://www.apache.org/dist/aries/)
13:46:11	6768/6768	---M--	200	added ('OK')	application/zip	etag:%221a70-4d48494b76a5e%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.core.compatibility-1.0.0-source-release.zip	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.core.compatibility-1.0.0-source-release.zip	(from http://www.apache.org/dist/aries/)
13:46:11	310/310	---M-Z	200	added ('OK')	text/plain	etag:%22136-577c8e0dba3ff-gzip%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.core.compatibility-1.0.0-source-release.zip.asc	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.core.compatibility-1.0.0-source-release.zip.asc	(from http://www.apache.org/dist/aries/)
13:46:13	40/40	---M--	200	added ('OK')	text/plain	etag:%2228-4d48494b76a5e%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.core.compatibility-1.0.0-source-release.zip.sha1	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.core.compatibility-1.0.0-source-release.zip.sha1	(from http://www.apache.org/dist/aries/)
13:46:17	8076/8076	---M--	200	added ('OK')	application/java-archive	etag:%221f8c-4d48494b76a5e%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.core.compatibility-1.0.0.jar	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.core.compatibility-1.0.0.jar	(from http://www.apache.org/dist/aries/)
13:46:17	310/310	---M-Z	200	added ('OK')	text/plain	etag:%22136-577c8e0dba3ff-gzip%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.core.compatibility-1.0.0.jar.asc	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.core.compatibility-1.0.0.jar.asc	(from http://www.apache.org/dist/aries/)
13:46:19	40/40	---M--	200	added ('OK')	text/plain	etag:%2228-4d48494b76a5e%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.core.compatibility-1.0.0.jar.sha1	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.core.compatibility-1.0.0.jar.sha1	(from http://www.apache.org/dist/aries/)
13:46:25	310/310	---M-Z	200	added ('OK')	text/plain	etag:%22136-577c8e0dba3ff-gzip%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.jexl.evaluator-1.0.0-source-release.zip.asc	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.jexl.evaluator-1.0.0-source-release.zip.asc	(from http://www.apache.org/dist/aries/)
13:46:25	13042/13042	---M--	200	added ('OK')	application/zip	etag:%2232f2-4d48494b76a5e%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.jexl.evaluator-1.0.0-source-release.zip	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.jexl.evaluator-1.0.0-source-release.zip	(from http://www.apache.org/dist/aries/)
